# Time-averaged data for fix dave
# TimeStep v_rho
647000 0.79789
648000 0.797918
649000 0.797967
650000 0.797959
651000 0.797957
652000 0.797968
653000 0.797981
654000 0.797998
655000 0.798007
656000 0.798034
657000 0.798046
658000 0.79802
659000 0.798024
660000 0.798008
661000 0.798023
662000 0.798021
663000 0.798006
664000 0.798006
665000 0.798041
666000 0.798077
667000 0.798124
668000 0.798154
669000 0.798184
670000 0.798209
671000 0.798228
672000 0.798248
673000 0.798288
674000 0.798336
675000 0.798417
676000 0.798516
677000 0.798604
678000 0.798692
679000 0.79879
680000 0.798891
681000 0.798972
682000 0.799029
683000 0.799067
684000 0.799114
685000 0.799193
686000 0.799247
687000 0.799307
688000 0.7994
689000 0.799466
690000 0.799528
691000 0.799567
692000 0.799589
693000 0.799589
694000 0.799612
695000 0.799629
696000 0.799668
697000 0.799716
698000 0.799747
699000 0.799792
700000 0.799813
701000 0.799855
702000 0.799907
703000 0.799953
704000 0.800008
705000 0.800073
706000 0.80013
707000 0.800158
708000 0.800171
709000 0.800144
710000 0.800115
711000 0.800087
712000 0.800101
713000 0.800084
714000 0.80005
715000 0.800045
716000 0.800041
717000 0.800026
718000 0.8
719000 0.799986
720000 0.799992
721000 0.799996
722000 0.799994
723000 0.800006
724000 0.800003
725000 0.799977
726000 0.79996
727000 0.799958
728000 0.799955
729000 0.799961
730000 0.799981
731000 0.800004
732000 0.800013
733000 0.800027
734000 0.800022
735000 0.800038
736000 0.800063
737000 0.800095
738000 0.800104
739000 0.800121
740000 0.800149
741000 0.80018
742000 0.800202
743000 0.800233
744000 0.800239
745000 0.800271
746000 0.800295
747000 0.800296
748000 0.800321
749000 0.800348
750000 0.800382
751000 0.800413
752000 0.80046
753000 0.800512
754000 0.800548
755000 0.800611
756000 0.800665
757000 0.800715
758000 0.800772
759000 0.800809
760000 0.800828
761000 0.800847
762000 0.800871
763000 0.800895
764000 0.800929
765000 0.800943
766000 0.800954
767000 0.800973
768000 0.80099
769000 0.800981
770000 0.800979
771000 0.801003
772000 0.801009
773000 0.801052
774000 0.801087
775000 0.80111
776000 0.801133
777000 0.801136
778000 0.801146
779000 0.801159
780000 0.801174
781000 0.801186
782000 0.801187
783000 0.801205
784000 0.801218
785000 0.801205
786000 0.801198
787000 0.801191
788000 0.801202
789000 0.801215
790000 0.801235
791000 0.801259
792000 0.801279
793000 0.801298
794000 0.80132
795000 0.801366
796000 0.801394
797000 0.801417
798000 0.801404
799000 0.801393
800000 0.801398
801000 0.801399
802000 0.801377
803000 0.801368
804000 0.801371
805000 0.801388
806000 0.801405
807000 0.801424
808000 0.80144
809000 0.801437
810000 0.801454
811000 0.801463
812000 0.801474
813000 0.801489
814000 0.801491
815000 0.801498
816000 0.801502
817000 0.801533
818000 0.80155
819000 0.801557
820000 0.801561
821000 0.801557
822000 0.801582
823000 0.801594
824000 0.801587
825000 0.801586
826000 0.801586
827000 0.801565
828000 0.801564
829000 0.801554
830000 0.801538
831000 0.801535
832000 0.801553
833000 0.801575
834000 0.801608
835000 0.801623
836000 0.80163
837000 0.801634
838000 0.801633
839000 0.801639
840000 0.801664
841000 0.801676
842000 0.801681
843000 0.80168
844000 0.80168
845000 0.801688
846000 0.80168
847000 0.801668
848000 0.801665
849000 0.801676
850000 0.801694
851000 0.801706
852000 0.801723
853000 0.801742
854000 0.801752
855000 0.801744
856000 0.801719
857000 0.801694
858000 0.801681
859000 0.801682
860000 0.80169
861000 0.801691
862000 0.801684
863000 0.801683
864000 0.801683
865000 0.80168
866000 0.801681
867000 0.8017
868000 0.801718
869000 0.801727
870000 0.801755
871000 0.801767
872000 0.801789
873000 0.801819
874000 0.801835
875000 0.801864
876000 0.801891
877000 0.801928
878000 0.801981
879000 0.80201
880000 0.802046
881000 0.802075
882000 0.802124
883000 0.802167
884000 0.802212
885000 0.802233
886000 0.802271
887000 0.8023
888000 0.802318
889000 0.802335
890000 0.802376
891000 0.8024
892000 0.802413
893000 0.802415
894000 0.802404
895000 0.802397
896000 0.802385
897000 0.802368
898000 0.802351
899000 0.802347
900000 0.802354
901000 0.80235
902000 0.802327
903000 0.802321
904000 0.802319
905000 0.80233
906000 0.802322
907000 0.802309
908000 0.802298
909000 0.802294
910000 0.802296
911000 0.802307
912000 0.802323
913000 0.802348
914000 0.802356
915000 0.802346
916000 0.802339
917000 0.802349
918000 0.802356
919000 0.802354
920000 0.802348
921000 0.802334
922000 0.802324
923000 0.802318
924000 0.802329
925000 0.802342
926000 0.802365
927000 0.802377
928000 0.802383
929000 0.8024
930000 0.802423
931000 0.802439
932000 0.802449
933000 0.802453
934000 0.802462
935000 0.802477
936000 0.802489
937000 0.802496
938000 0.802499
939000 0.802513
940000 0.802522
941000 0.802525
942000 0.802517
943000 0.802516
944000 0.802518
945000 0.802529
946000 0.802546
947000 0.802564
948000 0.802597
949000 0.802619
950000 0.802649
951000 0.802663
952000 0.802687
953000 0.802706
954000 0.802723
955000 0.802742
956000 0.802774
957000 0.802791
958000 0.802806
959000 0.802826
960000 0.802849
961000 0.802869
962000 0.802873
963000 0.80289
964000 0.802914
965000 0.802922
966000 0.802922
967000 0.802919
968000 0.802921
969000 0.802932
970000 0.802959
971000 0.802981
972000 0.802985
973000 0.802986
974000 0.80299
975000 0.802997
976000 0.803012
977000 0.803029
978000 0.803049
979000 0.803061
980000 0.803071
981000 0.803062
982000 0.803056
983000 0.803055
984000 0.803065
985000 0.803064
986000 0.803073
987000 0.803084
988000 0.803101
989000 0.803126
990000 0.803131
991000 0.803141
992000 0.803144
993000 0.803139
994000 0.803138
995000 0.803154
996000 0.803158
997000 0.803167
998000 0.803185
999000 0.803213
1000000 0.803225
1001000 0.803237
1002000 0.803274
1003000 0.8033
1004000 0.80331
1005000 0.80331
1006000 0.803327
1007000 0.803337
1008000 0.803359
1009000 0.803383
1010000 0.803412
1011000 0.803428
1012000 0.803439
1013000 0.803457
1014000 0.803466
1015000 0.803459
1016000 0.80346
1017000 0.803461
1018000 0.803459
1019000 0.803455
1020000 0.803449
1021000 0.803452
1022000 0.803444
1023000 0.803431
1024000 0.803433
1025000 0.803429
1026000 0.803418
1027000 0.803416
1028000 0.80342
1029000 0.803437
1030000 0.803445
1031000 0.803451
1032000 0.803456
1033000 0.803477
1034000 0.803489
1035000 0.803492
1036000 0.803498
1037000 0.803507
1038000 0.803502
1039000 0.803489
1040000 0.803472
1041000 0.803461
1042000 0.803454
1043000 0.803457
1044000 0.803462
1045000 0.80346
1046000 0.803459
1047000 0.803455
1048000 0.803464
1049000 0.803474
1050000 0.803467
1051000 0.80346
1052000 0.803451
1053000 0.803442
1054000 0.803434
1055000 0.803427
1056000 0.803431
1057000 0.803429
1058000 0.803416
1059000 0.803395
1060000 0.803385
1061000 0.803364
1062000 0.803343
1063000 0.803321
1064000 0.803303
1065000 0.803281
1066000 0.803264
1067000 0.803252
