,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
309,CCCCOCCCCC=CC(O)CCc1ccccc1CC(CC)COC,<rdkit.Chem.rdchem.Mol object at 0x14e09615fba0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",28,Generation_9_Molecule_309,-0.00000,390.608,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8dd0>,,,,,,,,,,,,
310,CCCCCC(=CCCCCCC(C)CCc1cccc(CCC)c1)CC,<rdkit.Chem.rdchem.Mol object at 0x14e09615fe40>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",27,Generation_9_Molecule_310,-0.00000,370.66499999999996,<rdkit.Chem.rdchem.Mol object at 0x14e09615fb30>,,,,,,,,,,,,
311,C=CC(CCC)Cc1ccccc1CCC(O)C=CCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x14e096168dd0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",27,Generation_9_Molecule_311,-0.00000,370.62100000000004,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8740>,,,,,,,,,,,,
312,CC=CC(C=CCCCCC(=O)CCCCCCCc1ccccc1CC)OC,<rdkit.Chem.rdchem.Mol object at 0x14e09615ff90>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",29,Generation_9_Molecule_312,-0.00000,398.631,<rdkit.Chem.rdchem.Mol object at 0x14e096168e40>,,,,,,,,,,,,
313,CCCCOCCC(C)CCCc1cccc(CCc2ccc(C)cc2)c1,<rdkit.Chem.rdchem.Mol object at 0x14e09615fc10>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",27,Generation_9_Molecule_313,-0.00000,366.58900000000006,<rdkit.Chem.rdchem.Mol object at 0x14e09615f040>,,,,,,,,,,,,
314,CCCCCCCC=CCCCc1ccccc1CCc1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x14e09615fdd0>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",27,Generation_9_Molecule_314,-0.00000,364.57300000000004,<rdkit.Chem.rdchem.Mol object at 0x14e09615f900>,,,,,,,,,,,,
315,C=C(C)Cc1cccc(OCC(CC)Cc2ccccc2CCCCCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e09615fc80>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",28,Generation_9_Molecule_315,0.00000,378.6,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8f90>,,,,,,,,,,,,
316,CCCC=C(C=O)CCCC(CC)CCCCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e09615f740>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",27,Generation_9_Molecule_316,-0.00000,372.59299999999996,<rdkit.Chem.rdchem.Mol object at 0x14e096168120>,,,,,,,,,,,,
317,C=CC(CCCC)CCCC(=CC)CCCCCc1ccccc1CCO,<rdkit.Chem.rdchem.Mol object at 0x14e096167200>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",27,Generation_9_Molecule_317,-0.00000,370.62100000000004,<rdkit.Chem.rdchem.Mol object at 0x14e0961dda50>,,,,,,,,,,,,
318,CCCCCCCCCC(CCc1ccccc1CCc1ccccc1CO)C(=O)CCCC,<rdkit.Chem.rdchem.Mol object at 0x14e096167660>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",34,Generation_9_Molecule_318,-0.00000,464.734,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8f20>,,,,,,,,,,,,
