,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
405,CCCC(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001C5896345F0>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",6,Generation_12_Molecule_405,-0.00000,86.178,<rdkit.Chem.rdchem.Mol object at 0x000001C589634740>,4078,,,,,,,,,,,
406,COCCOCC=CCC(C)CCCCCC=O,<rdkit.Chem.rdchem.Mol object at 0x000001C5896344A0>,"['AddAtom', 'RemoveAtom', 'AddFragment']",18,Generation_12_Molecule_406,0.00000,256.38599999999997,<rdkit.Chem.rdchem.Mol object at 0x000001C589634350>,391,,,,,,,,,,,
407,COCC(C)(C)CC(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001C589634A50>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",10,Generation_12_Molecule_407,-0.00000,146.23,<rdkit.Chem.rdchem.Mol object at 0x000001C5896342E0>,22610,,,,,,,,,,,
408,CCC(=O)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589634430>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",6,Generation_12_Molecule_408,-0.00000,86.13399999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C5896340B0>,4101,,,,,,,,,,,
409,C=C(OC)C(O)OC(=O)CO,<rdkit.Chem.rdchem.Mol object at 0x000001C589634820>,"['ReplaceAtom', 'ReplaceAtom', 'RemoveAtom']",11,Generation_12_Molecule_409,-0.32000,162.14100000000002,<rdkit.Chem.rdchem.Mol object at 0x000001C5896347B0>,52871,,,,,,,,,,,
410,C=COC(C)CO,<rdkit.Chem.rdchem.Mol object at 0x000001C589634510>,"['ReplaceBond', 'RemoveAtom', 'AddAtom']",7,Generation_12_Molecule_410,-0.11500,102.133,<rdkit.Chem.rdchem.Mol object at 0x000001C589634900>,58996,,,,,,,,,,,
411,C=CC(=C)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589634DD0>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",6,Generation_12_Molecule_411,-0.00000,82.146,<rdkit.Chem.rdchem.Mol object at 0x000001C589634970>,50282,,,,,,,,,,,
412,CC=COCCC(CC)CC(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001C589634D60>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",13,Generation_12_Molecule_412,-0.11500,186.29499999999996,<rdkit.Chem.rdchem.Mol object at 0x000001C589634C80>,50963,,,,,,,,,,,
413,COCC(C)(C)CCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589634B30>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",15,Generation_12_Molecule_413,-0.00000,216.36499999999998,<rdkit.Chem.rdchem.Mol object at 0x000001C589627920>,37297,,,,,,,,,,,
414,C=C(C)C(=CO)OC,<rdkit.Chem.rdchem.Mol object at 0x000001C589634890>,"['ReplaceBond', 'AddAtom', 'AddAtom']",8,Generation_12_Molecule_414,-0.06000,114.144,<rdkit.Chem.rdchem.Mol object at 0x000001C589634AC0>,18433,,,,,,,,,,,
415,CCCOC,<rdkit.Chem.rdchem.Mol object at 0x000001C589634C10>,"['ReplaceAtom', 'ReplaceBond', 'AddAtom']",5,Generation_12_Molecule_415,-0.00000,74.12299999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589634F90>,348,,,,,,,,,,,
